Campaign_ID,Campaign_Type,Target_Audience,Duration,Channel_Used,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Language,Engagement_Score,Customer_Segment,Date
NY-CMP-37338,,Premium Shoppers,14.0,"Google, Facebook, Instagram",12805.0,1097.0,499.0,257.0,,1125.7,-0.78,English,14.47,College Students,24-11-2024
NY-CMP-28562,Social Media,Premium Shoppers,,Instagram,25481.0,715.0,323.0,109.0,39567.0,709.39,-0.49,English,4.5,College Students,15-11-2024
NY-CMP-53625,Paid Ads,Tier 2 City Customers,26.0,"Instagram, Facebook",75428.0,10051.0,3430.0,2257.0,1627297.0,92.14,6.83,English,20.86,Tier 2 City Customers,26-10-2024
NY-CMP-44156,Paid Ads,Tier 2 City Customers,22.0,"Facebook, YouTube, Instagram",51353.0,5237.0,2868.0,1453.0,385045.0,98.41,1.69,English,18.61,Youth,04-11-2024
NY-CMP-35662,Social Media,College Students,19.0,"Email, Google, WhatsApp",52350.0,3341.0,1603.0,647.0,371378.0,413.38,0.39,Tamil,10.68,College Students,04-12-2024
NY-CMP-3630,SEO,Premium Shoppers,27.0,"Google, Facebook, Instagram",38193.0,5176.0,2263.0,1014.0,753402.0,73.88,9.06,Tamil,22.13,Youth,22-09-2024
NY-CMP-10398,Email,Working Women,26.0,WhatsApp,55373.0,2845.0,1659.0,1160.0,504600.0,75.42,4.77,Bengali,10.23,Youth,01-09-2024
NY-CMP-7478,,Working Women,9.0,Instagram,60307.0,2327.0,521.0,414.0,312984.0,141.62,4.34,English,5.41,Tier 2 City Customers,10-11-2024
NY-CMP-25975,Influencer,Youth,22.0,Email,32809.0,3900.0,2159.0,1206.0,366624.0,188.52,,Bengali,22.14,Premium Shoppers,29-04-2025
NY-CMP-48091,Influencer,Tier 2 City Customers,15.0,"Email, Facebook, Instagram",60672.0,,4018.0,2803.0,627872.0,63.86,2.51,Hindi,25.68,Working Women,07-05-2025
NY-CMP-32020,Social Media,Youth,22.0,"WhatsApp, Facebook, Email",81695.0,2269.0,600.0,388.0,79540.0,654.37,-0.69,,3.99,Youth,01-06-2025
NY-CMP-47915,,Premium Shoppers,26.0,"YouTube, Email",97054.0,3486.0,801.0,306.0,144432.0,716.93,,Tamil,4.73,Premium Shoppers,07-01-2025
NY-CMP-30239,Email,Youth,26.0,"YouTube, Email, WhatsApp",28710.0,4184.0,1958.0,864.0,291168.0,190.34,0.77,Hindi,24.4,Premium Shoppers,20-10-2024
NY-CMP-23103,Influencer,Tier 2 City Customers,22.0,WhatsApp,73000.0,8815.0,3814.0,1150.0,688850.0,205.74,1.91,Hindi,18.88,Premium Shoppers,28-11-2024
NY-CMP-1936,Social Media,Tier 2 City Customers,13.0,,19944.0,2122.0,,479.0,131246.0,196.96,,English,16.79,Youth,20-01-2025
NY-CMP-13761,SEO,College Students,11.0,Instagram,77765.0,11011.0,4708.0,,1176387.0,64.89,3.89,Tamil,24.99,Tier 2 City Customers,03-04-2025
NY-CMP-3528,Influencer,Premium Shoppers,19.0,WhatsApp,92060.0,5262.0,,870.0,394980.0,208.55,1.18,,9.62,,19-02-2025
NY-CMP-15449,SEO,Premium Shoppers,28.0,"Facebook, YouTube, WhatsApp",,4460.0,2168.0,661.0,500377.0,303.34,1.5,Hindi,10.71,Premium Shoppers,15-09-2024
NY-CMP-56167,SEO,Tier 2 City Customers,18.0,"Google, Facebook",23874.0,2968.0,857.0,603.0,429336.0,190.15,2.74,Hindi,18.55,,18-12-2024
NY-CMP-45359,Paid Ads,Premium Shoppers,19.0,"Facebook, Email",17447.0,456.0,246.0,97.0,40255.0,834.71,-0.5,Tamil,4.58,Premium Shoppers,17-01-2025
NY-CMP-55231,Paid Ads,Tier 2 City Customers,,YouTube,83614.0,3544.0,,392.0,90552.0,686.52,,Tamil,6.04,College Students,27-05-2025
NY-CMP-29665,Social Media,Tier 2 City Customers,,"Instagram, YouTube",55002.0,4133.0,1080.0,357.0,99960.0,705.94,,Hindi,10.13,,10-09-2024
NY-CMP-4173,Paid Ads,Working Women,18.0,"YouTube, Google",57558.0,5792.0,1841.0,977.0,387869.0,,4.04,Bengali,14.96,Working Women,28-09-2024
NY-CMP-44546,Email,Working Women,19.0,"YouTube, Google, WhatsApp",32596.0,2313.0,687.0,476.0,225148.0,593.35,-0.2,English,10.66,Tier 2 City Customers,
NY-CMP-28210,Influencer,Premium Shoppers,,YouTube,50340.0,3055.0,1687.0,877.0,318351.0,281.98,0.29,Hindi,,Working Women,
NY-CMP-24445,Social Media,Premium Shoppers,5.0,"Google, YouTube, Instagram",45245.0,5789.0,1866.0,891.0,476685.0,146.11,2.66,English,18.89,Working Women,23-12-2024
NY-CMP-25965,SEO,Tier 2 City Customers,16.0,"WhatsApp, Facebook, Instagram",64506.0,9000.0,4716.0,1831.0,514511.0,119.71,,Hindi,24.1,Tier 2 City Customers,13-08-2024
NY-CMP-8984,Email,Working Women,16.0,Google,45118.0,3730.0,,421.0,276176.0,385.71,0.7,English,11.89,Premium Shoppers,14-04-2025
NY-CMP-9279,Email,,,"Email, Instagram",98012.0,5376.0,2368.0,917.0,185234.0,324.35,-0.38,Hindi,8.84,Premium Shoppers,07-04-2025
NY-CMP-32581,SEO,Working Women,23.0,"Facebook, Google, Email",41881.0,4773.0,2148.0,1121.0,865412.0,211.95,2.64,Hindi,19.2,Youth,12-02-2025
NY-CMP-12153,Influencer,Tier 2 City Customers,20.0,Google,33897.0,1900.0,1026.0,780.0,275340.0,241.62,0.46,Hindi,10.93,Working Women,15-03-2025
NY-CMP-48852,Influencer,Tier 2 City Customers,24.0,"Instagram, Email, Facebook",86168.0,6520.0,2487.0,1571.0,,161.56,3.69,Tamil,12.28,Working Women,27-01-2025
NY-CMP-21832,Influencer,Premium Shoppers,9.0,"YouTube, Email, Instagram",22456.0,1312.0,554.0,352.0,200992.0,319.41,0.79,English,9.88,Youth,04-06-2025
NY-CMP-17889,SEO,Tier 2 City Customers,13.0,,55066.0,2062.0,1020.0,570.0,217170.0,,1.0,Tamil,6.63,Working Women,29-03-2025
NY-CMP-9270,Influencer,Tier 2 City Customers,11.0,Google,46644.0,1244.0,657.0,373.0,250283.0,436.05,0.54,Tamil,4.88,Premium Shoppers,05-05-2025
NY-CMP-46263,Email,Youth,7.0,"Facebook, Email, YouTube",93736.0,9706.0,3971.0,2641.0,2017724.0,56.38,12.55,Hindi,17.41,College Students,12-01-2025
NY-CMP-28872,Paid Ads,College Students,22.0,"Instagram, Facebook",45716.0,3362.0,1004.0,723.0,,259.88,1.87,Tamil,11.13,,08-01-2025
NY-CMP-42624,Paid Ads,Working Women,30.0,"WhatsApp, YouTube, Email",44322.0,1345.0,615.0,222.0,155622.0,620.03,0.13,Hindi,4.92,Working Women,27-08-2024
NY-CMP-18210,Paid Ads,Premium Shoppers,27.0,Facebook,29571.0,4396.0,886.0,518.0,380212.0,480.03,0.53,Tamil,19.61,Premium Shoppers,21-11-2024
NY-CMP-32985,Influencer,Tier 2 City Customers,25.0,Email,61703.0,2587.0,950.0,701.0,404477.0,306.75,0.88,English,6.87,Youth,03-06-2025
NY-CMP-8785,Influencer,Premium Shoppers,5.0,"Facebook, WhatsApp",70355.0,5300.0,2983.0,1793.0,932360.0,143.41,2.63,English,14.32,College Students,19-01-2025
NY-CMP-40286,Social Media,,14.0,YouTube,48365.0,6579.0,3242.0,1096.0,233448.0,242.59,-0.12,Bengali,22.57,Premium Shoppers,03-09-2024
NY-CMP-12799,Paid Ads,,26.0,"Facebook, Email",89033.0,3779.0,1313.0,566.0,375824.0,297.61,1.23,Tamil,6.35,College Students,25-04-2025
NY-CMP-28173,,College Students,13.0,"WhatsApp, Google",75462.0,1543.0,,360.0,180360.0,475.81,0.05,Bengali,,College Students,06-02-2025
NY-CMP-53291,SEO,College Students,,WhatsApp,44475.0,6532.0,1516.0,879.0,432468.0,172.89,1.85,Hindi,20.07,Youth,02-03-2025
NY-CMP-46442,Email,Tier 2 City Customers,7.0,"Email, Instagram",50011.0,6173.0,2488.0,1653.0,580203.0,33.23,9.56,Tamil,20.62,Tier 2 City Customers,03-05-2025
NY-CMP-38315,SEO,,29.0,Instagram,28526.0,2632.0,1235.0,781.0,560758.0,341.55,1.1,English,16.29,Youth,22-02-2025
NY-CMP-46642,Email,Working Women,5.0,"Email, Instagram",,3697.0,2141.0,1477.0,868476.0,174.68,2.37,Hindi,24.93,Tier 2 City Customers,13-01-2025
NY-CMP-37462,Social Media,Working Women,29.0,"Facebook, Email",38972.0,5687.0,2822.0,2046.0,1153944.0,63.23,7.92,Bengali,27.08,Tier 2 City Customers,08-11-2024
NY-CMP-15831,Influencer,Youth,9.0,YouTube,59406.0,1876.0,952.0,459.0,306612.0,165.49,3.04,English,5.53,College Students,17-02-2025
NY-CMP-4394,,Tier 2 City Customers,23.0,,84856.0,10539.0,6276.0,4798.0,1885614.0,38.49,9.21,English,25.47,Tier 2 City Customers,26-09-2024
NY-CMP-46757,,Premium Shoppers,,Email,98147.0,11131.0,6502.0,,1536760.0,50.63,7.14,English,,Tier 2 City Customers,03-08-2024
NY-CMP-1292,Social Media,Working Women,22.0,"WhatsApp, Google, YouTube",28876.0,1886.0,1050.0,417.0,126351.0,274.12,0.11,English,11.61,Youth,12-01-2025
NY-CMP-17071,Influencer,Tier 2 City Customers,8.0,"Facebook, Google",69474.0,5781.0,1307.0,1042.0,726274.0,149.89,3.65,,,Working Women,25-11-2024
NY-CMP-40247,Influencer,Youth,20.0,"Email, Instagram, YouTube",82526.0,5042.0,2720.0,931.0,,64.25,9.57,,10.53,College Students,24-08-2024
NY-CMP-41653,Influencer,Working Women,19.0,"YouTube, Facebook, Email",44393.0,5681.0,1967.0,1214.0,643420.0,,,Hindi,19.96,Youth,30-04-2025
NY-CMP-17109,SEO,Tier 2 City Customers,24.0,"WhatsApp, Email",15517.0,344.0,74.0,39.0,28665.0,7025.03,-0.9,Hindi,2.95,Working Women,12-12-2024
NY-CMP-3757,SEO,College Students,30.0,"Google, YouTube, Facebook",67541.0,4728.0,1298.0,977.0,506086.0,253.01,1.05,Bengali,10.37,Working Women,02-08-2024
NY-CMP-37144,Paid Ads,Youth,9.0,Instagram,12573.0,717.0,245.0,141.0,54708.0,1073.45,-0.64,Bengali,8.77,Working Women,17-04-2025
NY-CMP-42665,Influencer,Working Women,9.0,WhatsApp,38779.0,4477.0,2371.0,1659.0,1247568.0,106.74,6.04,Hindi,21.94,Working Women,09-01-2025
NY-CMP-11772,Email,Youth,20.0,"YouTube, Google, Facebook",42032.0,1783.0,,245.0,178115.0,658.29,0.1,Tamil,6.32,College Students,
NY-CMP-5144,Email,Working Women,28.0,"Instagram, YouTube, Google",82024.0,7110.0,3007.0,1541.0,511612.0,182.75,0.82,Bengali,14.21,Premium Shoppers,12-11-2024
NY-CMP-46598,Influencer,Premium Shoppers,29.0,"YouTube, Instagram",77569.0,7968.0,4650.0,3598.0,784364.0,43.28,4.04,English,20.91,College Students,
NY-CMP-2126,Social Media,Tier 2 City Customers,25.0,"YouTube, Facebook",52177.0,6446.0,3370.0,1212.0,322392.0,141.24,0.88,Tamil,21.14,Tier 2 City Customers,23-11-2024
NY-CMP-47963,Email,Premium Shoppers,30.0,"WhatsApp, Facebook, YouTube",29019.0,2141.0,611.0,229.0,99844.0,833.53,,English,10.27,Premium Shoppers,14-07-2024
NY-CMP-46317,SEO,Premium Shoppers,21.0,,19487.0,1764.0,976.0,370.0,226440.0,641.41,-0.05,Hindi,15.96,College Students,09-10-2024
NY-CMP-48106,Influencer,Premium Shoppers,,YouTube,47640.0,2040.0,936.0,408.0,178296.0,281.45,0.55,Tamil,7.1,Premium Shoppers,05-05-2025
NY-CMP-48178,Influencer,Working Women,7.0,"Email, Google, Instagram",,5716.0,1914.0,926.0,298172.0,274.75,0.17,Tamil,11.25,,23-08-2024
NY-CMP-20168,Paid Ads,Premium Shoppers,14.0,"WhatsApp, Email, Instagram",12247.0,671.0,220.0,131.0,,995.02,-0.76,,8.34,Working Women,15-12-2024
NY-CMP-28878,SEO,College Students,14.0,"WhatsApp, Email",,1218.0,581.0,267.0,151122.0,593.31,-0.05,,18.42,College Students,02-02-2025
NY-CMP-10731,SEO,Youth,12.0,"YouTube, Email",93960.0,13314.0,5964.0,2255.0,814055.0,65.53,4.51,English,22.92,College Students,11-10-2024
NY-CMP-2005,Paid Ads,College Students,7.0,"Google, YouTube",10687.0,1121.0,589.0,437.0,283613.0,142.56,3.55,English,20.09,Working Women,03-02-2025
NY-CMP-40783,SEO,College Students,17.0,,71386.0,4188.0,910.0,669.0,159891.0,111.36,1.15,Hindi,8.08,Tier 2 City Customers,13-02-2025
NY-CMP-16423,Email,Working Women,29.0,WhatsApp,63773.0,4040.0,2262.0,1244.0,898168.0,154.76,3.67,Hindi,11.83,Tier 2 City Customers,18-12-2024
NY-CMP-20780,Social Media,,23.0,"Instagram, Facebook, Google",90391.0,5261.0,2405.0,1071.0,691866.0,242.72,1.66,Hindi,,Tier 2 City Customers,12-10-2024
NY-CMP-19083,Social Media,Premium Shoppers,27.0,Facebook,47254.0,6055.0,3031.0,1906.0,1092138.0,112.36,4.1,English,23.26,Premium Shoppers,06-08-2024
NY-CMP-37983,Paid Ads,College Students,18.0,"Google, Email, WhatsApp",61859.0,1469.0,711.0,560.0,115920.0,199.95,0.04,Tamil,,Youth,14-03-2025
NY-CMP-13932,Email,Premium Shoppers,19.0,"Instagram, YouTube, Google",82629.0,11788.0,3686.0,1138.0,467718.0,181.7,1.26,English,20.1,Working Women,05-06-2025
NY-CMP-50214,Email,,10.0,Instagram,57476.0,1960.0,884.0,520.0,334880.0,458.18,0.41,Hindi,5.85,Premium Shoppers,25-08-2024
NY-CMP-36311,Social Media,Working Women,,Email,12819.0,985.0,252.0,150.0,108750.0,1119.17,-0.35,Tamil,10.82,Youth,06-06-2025
NY-CMP-13733,Email,Youth,28.0,WhatsApp,96734.0,10572.0,2722.0,1853.0,852380.0,77.66,4.92,Hindi,15.66,Working Women,18-01-2025
NY-CMP-24858,Social Media,Working Women,5.0,YouTube,53474.0,2849.0,603.0,267.0,124422.0,651.88,-0.29,Tamil,6.95,College Students,20-11-2024
NY-CMP-23952,Email,Premium Shoppers,29.0,YouTube,42095.0,2862.0,,461.0,248940.0,320.56,0.68,Hindi,10.37,Premium Shoppers,12-04-2025
NY-CMP-14948,Influencer,Premium Shoppers,11.0,"Instagram, YouTube",48170.0,1549.0,831.0,463.0,216221.0,297.94,0.57,Bengali,,Working Women,22-02-2025
NY-CMP-6265,Paid Ads,Tier 2 City Customers,9.0,"Facebook, Google",40903.0,5038.0,2962.0,1417.0,314574.0,159.51,0.39,,23.02,Tier 2 City Customers,
NY-CMP-18086,Influencer,Youth,23.0,"Email, Facebook",51550.0,5576.0,2141.0,1115.0,345650.0,112.73,1.75,English,17.13,Working Women,21-05-2025
NY-CMP-26928,Paid Ads,Youth,13.0,Instagram,48226.0,4064.0,1415.0,823.0,,343.52,0.91,Tamil,13.07,Working Women,02-05-2025
NY-CMP-43631,Influencer,Working Women,12.0,"Instagram, YouTube, WhatsApp",80246.0,6644.0,3435.0,1149.0,463047.0,105.71,2.81,Hindi,13.99,Premium Shoppers,13-03-2025
NY-CMP-4263,Social Media,Youth,12.0,,50239.0,6061.0,1714.0,1169.0,557613.0,202.79,1.35,Hindi,17.8,Youth,03-10-2024
NY-CMP-43732,Email,College Students,30.0,"Instagram, YouTube, Email",84428.0,10640.0,5945.0,3647.0,1309273.0,29.1,11.34,English,23.96,Tier 2 City Customers,26-02-2025
NY-CMP-39604,Influencer,Youth,14.0,"YouTube, Instagram",89427.0,10974.0,6146.0,4212.0,2809404.0,19.63,32.99,Hindi,,Premium Shoppers,20-04-2025
NY-CMP-32725,Influencer,College Students,14.0,"WhatsApp, Instagram, Google",64017.0,8120.0,3777.0,1261.0,400998.0,170.93,0.86,English,20.55,Working Women,15-10-2024
NY-CMP-56126,Social Media,College Students,19.0,WhatsApp,39892.0,1987.0,1011.0,694.0,247064.0,288.65,0.23,Hindi,9.25,,07-07-2024
NY-CMP-53452,Email,Youth,26.0,"Instagram, Email, WhatsApp",,,2693.0,1477.0,521381.0,61.73,4.72,Hindi,10.81,College Students,01-11-2024
NY-CMP-10351,Social Media,Tier 2 City Customers,27.0,"Email, Facebook",48395.0,3404.0,1274.0,559.0,425958.0,369.58,1.06,Bengali,10.82,Working Women,14-03-2025
NY-CMP-4154,Paid Ads,Youth,17.0,"YouTube, Google",63442.0,7948.0,3706.0,2858.0,1854842.0,31.25,19.77,Tamil,22.87,Working Women,24-03-2025
NY-CMP-15401,Paid Ads,,26.0,,84853.0,4585.0,1228.0,596.0,413624.0,129.06,4.38,Bengali,7.55,College Students,05-01-2025
NY-CMP-52440,Email,Premium Shoppers,10.0,"Instagram, Google, Facebook",89013.0,7193.0,3966.0,1782.0,381348.0,63.24,2.38,Bengali,14.54,Tier 2 City Customers,12-02-2025
NY-CMP-54766,Email,College Students,12.0,"Google, Instagram",42451.0,,1053.0,584.0,308352.0,,0.93,Bengali,8.54,Youth,13-11-2024
NY-CMP-52434,,Tier 2 City Customers,22.0,"Google, Facebook",17366.0,371.0,165.0,116.0,70064.0,2522.53,-0.76,Hindi,3.75,Working Women,01-06-2025
NY-CMP-38286,Email,Tier 2 City Customers,16.0,Facebook,78496.0,10537.0,4386.0,3464.0,2133824.0,75.3,7.18,Bengali,23.42,Youth,10-04-2025
NY-CMP-53288,Influencer,Premium Shoppers,13.0,Instagram,47275.0,6611.0,3167.0,2009.0,1070797.0,33.86,14.74,Tamil,24.93,College Students,19-05-2025
NY-CMP-13212,Email,Tier 2 City Customers,28.0,Instagram,86413.0,1931.0,759.0,,199920.0,348.18,0.61,Tamil,3.53,Working Women,11-07-2024
NY-CMP-23714,Email,Youth,6.0,YouTube,72524.0,10858.0,5613.0,3492.0,2612016.0,26.28,27.46,Hindi,27.53,Working Women,20-09-2024
NY-CMP-18121,Influencer,Youth,20.0,YouTube,21997.0,769.0,368.0,245.0,177380.0,1101.4,-0.34,Tamil,6.28,Working Women,29-12-2024
NY-CMP-43139,Paid Ads,Working Women,12.0,WhatsApp,46181.0,2190.0,1159.0,624.0,373152.0,201.0,1.98,Hindi,,Youth,04-07-2024
NY-CMP-53964,SEO,Youth,7.0,"Email, WhatsApp",73771.0,2292.0,1148.0,589.0,296856.0,339.02,0.49,Tamil,5.46,Working Women,23-07-2024
NY-CMP-8070,Influencer,Premium Shoppers,23.0,"Instagram, Google",96326.0,10545.0,2225.0,684.0,248976.0,141.04,1.58,Bengali,13.97,,24-09-2024
NY-CMP-35677,Email,College Students,25.0,Google,75285.0,,1752.0,,398372.0,165.43,2.69,Tamil,9.48,Youth,07-08-2024
NY-CMP-8209,Influencer,Premium Shoppers,22.0,Email,84078.0,3585.0,1199.0,813.0,447963.0,226.78,1.43,English,6.66,Premium Shoppers,22-03-2025
NY-CMP-23839,Social Media,Tier 2 City Customers,27.0,"Email, Google",87577.0,9110.0,2273.0,1323.0,452466.0,219.31,0.56,Tamil,14.51,Youth,27-11-2024
NY-CMP-39843,Email,Premium Shoppers,29.0,"Instagram, WhatsApp, Google",83996.0,11311.0,3837.0,2973.0,1192173.0,19.45,19.62,English,21.57,Premium Shoppers,29-05-2025
NY-CMP-9565,Social Media,College Students,5.0,"Email, WhatsApp",23820.0,915.0,542.0,214.0,79180.0,407.51,-0.09,English,7.02,Premium Shoppers,29-10-2024
NY-CMP-48989,Paid Ads,Tier 2 City Customers,30.0,Instagram,,8508.0,,1493.0,1183949.0,87.93,8.02,Bengali,24.85,College Students,19-05-2025
NY-CMP-35486,Paid Ads,Premium Shoppers,29.0,"WhatsApp, Email",94649.0,11960.0,5645.0,3416.0,963312.0,54.82,4.14,,22.21,College Students,21-07-2024
NY-CMP-50338,SEO,Youth,8.0,Facebook,73123.0,1644.0,708.0,451.0,199793.0,201.34,1.2,Hindi,3.83,College Students,12-07-2024
NY-CMP-49837,SEO,Working Women,30.0,"Google, Facebook",44689.0,1422.0,380.0,,227556.0,975.71,-0.23,,,Tier 2 City Customers,22-12-2024
NY-CMP-52595,Influencer,Youth,7.0,"Email, Facebook, Google",21684.0,2792.0,,783.0,606042.0,154.71,4.0,Bengali,23.75,Working Women,26-10-2024
NY-CMP-14441,Paid Ads,Youth,10.0,,37340.0,2656.0,1084.0,428.0,112992.0,544.6,-0.52,Bengali,11.16,Premium Shoppers,09-01-2025
NY-CMP-21120,SEO,College Students,20.0,"YouTube, Google",43664.0,4720.0,1948.0,1329.0,308328.0,116.36,0.99,Tamil,18.31,Premium Shoppers,30-01-2025
NY-CMP-1462,Paid Ads,College Students,20.0,"WhatsApp, Facebook, Google",54700.0,3084.0,1411.0,796.0,253924.0,224.61,0.42,Bengali,9.67,Youth,28-10-2024
NY-CMP-30266,Influencer,Working Women,24.0,"YouTube, Instagram",61440.0,8095.0,1853.0,1201.0,348290.0,43.1,5.73,Bengali,18.15,Premium Shoppers,24-01-2025
NY-CMP-15753,Influencer,College Students,7.0,,99358.0,10564.0,5551.0,2935.0,,30.21,16.31,Hindi,19.17,Youth,30-08-2024
NY-CMP-20661,Paid Ads,College Students,6.0,Facebook,87987.0,8274.0,1716.0,823.0,464995.0,215.78,1.62,Bengali,12.29,,06-10-2024
NY-CMP-43383,Influencer,Tier 2 City Customers,13.0,"Email, Google",42859.0,3912.0,1571.0,1186.0,307174.0,67.9,2.81,Hindi,15.56,College Students,06-11-2024
NY-CMP-24381,Social Media,Youth,7.0,Email,44282.0,3233.0,1616.0,1109.0,256179.0,186.43,0.24,Bengali,13.45,,12-09-2024
NY-CMP-48729,Social Media,Tier 2 City Customers,23.0,"Email, Instagram",11636.0,541.0,190.0,,21500.0,1726.82,-0.88,English,7.14,Premium Shoppers,04-05-2025
NY-CMP-55202,Influencer,College Students,7.0,WhatsApp,98487.0,14636.0,4604.0,2509.0,1131559.0,33.45,12.48,Bengali,22.08,Tier 2 City Customers,14-02-2025
NY-CMP-14270,SEO,Youth,16.0,,44442.0,5320.0,2531.0,2017.0,1208183.0,45.03,12.3,English,22.2,Premium Shoppers,13-08-2024
NY-CMP-4156,Email,College Students,6.0,"WhatsApp, YouTube, Email",89998.0,10933.0,3986.0,1297.0,913088.0,185.98,2.79,Tamil,18.02,Working Women,04-01-2025
NY-CMP-16459,Paid Ads,College Students,19.0,"Email, Google, YouTube",23323.0,1524.0,417.0,224.0,55328.0,,-0.81,Tamil,9.28,Tier 2 City Customers,09-04-2025
NY-CMP-10006,Paid Ads,Tier 2 City Customers,19.0,Facebook,23179.0,1616.0,807.0,596.0,295020.0,313.73,0.58,English,13.02,Youth,12-04-2025
NY-CMP-44987,Paid Ads,Premium Shoppers,29.0,"WhatsApp, Instagram",33954.0,1868.0,759.0,,394110.0,413.15,0.83,English,9.27,Tier 2 City Customers,12-05-2025
NY-CMP-46851,Paid Ads,Tier 2 City Customers,11.0,"YouTube, Email",22795.0,2544.0,1160.0,916.0,327928.0,75.9,3.72,Bengali,20.27,College Students,27-08-2024
NY-CMP-11193,Email,College Students,17.0,WhatsApp,17988.0,1886.0,607.0,270.0,198720.0,,0.22,Tamil,15.36,Youth,13-08-2024
NY-CMP-30694,SEO,Working Women,6.0,Google,45977.0,2412.0,1125.0,802.0,448318.0,,0.74,Tamil,9.44,Tier 2 City Customers,24-03-2025
