Campaign_ID,Campaign_Type,Target_Audience,Duration,Channel_Used,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Language,Engagement_Score,Customer_Segment,Date
PU-CMP-46757,Paid Ads,,5.0,,40875.0,,1158.0,743.0,539418.0,67.49,9.76,Hindi,11.92,Premium Shoppers,30-08-2024
PU-CMP-1292,Paid Ads,Premium Shoppers,17.0,YouTube,,2976.0,1369.0,1020.0,464100.0,189.6,1.4,Hindi,15.45,Working Women,17-01-2025
PU-CMP-17071,Social Media,Working Women,17.0,"Email, WhatsApp, YouTube",,1397.0,549.0,358.0,242724.0,403.94,0.68,Bengali,6.4,Premium Shoppers,09-11-2024
PU-CMP-40247,SEO,Youth,20.0,"Instagram, Facebook",70911.0,10298.0,4142.0,1697.0,819651.0,121.72,2.97,English,22.76,Working Women,15-09-2024
PU-CMP-41653,SEO,College Students,29.0,"Facebook, Google",36639.0,3898.0,1348.0,540.0,271620.0,268.57,,English,15.79,Youth,10-07-2024
PU-CMP-17109,Email,Tier 2 City Customers,21.0,Facebook,25391.0,3285.0,1392.0,686.0,327222.0,159.0,2.0,English,21.12,,21-08-2024
PU-CMP-3757,Social Media,Working Women,13.0,"Facebook, Email",66623.0,8015.0,2621.0,1309.0,302379.0,128.13,0.8,Bengali,17.93,College Students,30-10-2024
PU-CMP-37144,Email,Tier 2 City Customers,30.0,"YouTube, Google",61185.0,4322.0,1287.0,893.0,435784.0,83.38,4.85,Hindi,10.63,Premium Shoppers,14-11-2024
PU-CMP-42665,Influencer,Tier 2 City Customers,,Email,69299.0,7785.0,1917.0,1343.0,351866.0,183.79,0.43,Tamil,15.94,College Students,04-09-2024
PU-CMP-11772,Paid Ads,Tier 2 City Customers,15.0,YouTube,79617.0,6373.0,2106.0,1611.0,739449.0,48.57,8.45,Hindi,12.67,Working Women,26-01-2025
PU-CMP-5144,Email,Youth,21.0,WhatsApp,59682.0,6371.0,1487.0,1183.0,901446.0,178.91,3.26,Tamil,15.15,Tier 2 City Customers,08-11-2024
PU-CMP-46598,Paid Ads,Working Women,,"Facebook, Instagram",42288.0,2057.0,606.0,400.0,318800.0,564.26,0.41,Tamil,7.24,College Students,21-10-2024
PU-CMP-2126,Paid Ads,Premium Shoppers,8.0,"Instagram, Facebook, YouTube",75851.0,4379.0,1132.0,448.0,242816.0,217.9,1.49,English,7.86,Youth,01-07-2024
PU-CMP-47963,SEO,Premium Shoppers,22.0,Facebook,82624.0,8635.0,2200.0,1502.0,1102468.0,167.37,,Tamil,14.93,Tier 2 City Customers,28-05-2025
PU-CMP-46317,Influencer,Tier 2 City Customers,10.0,"Instagram, YouTube",13050.0,1162.0,602.0,474.0,,519.28,-0.43,Hindi,17.15,Premium Shoppers,15-09-2024
PU-CMP-48106,Influencer,Tier 2 City Customers,11.0,WhatsApp,36379.0,4577.0,2017.0,767.0,181012.0,235.54,0.0,Bengali,20.23,College Students,06-12-2024
PU-CMP-48178,,College Students,14.0,"Facebook, Google, YouTube",13451.0,1286.0,692.0,364.0,,408.49,0.94,English,17.41,College Students,08-07-2024
,Influencer,Youth,20.0,Google,36425.0,4640.0,1889.0,1358.0,441350.0,195.24,0.66,Hindi,21.65,Tier 2 City Customers,
PU-CMP-28878,Social Media,Tier 2 City Customers,13.0,"WhatsApp, Google, YouTube",27418.0,3644.0,1044.0,501.0,100200.0,515.52,-0.61,Hindi,18.93,Youth,05-08-2024
PU-CMP-10731,SEO,Tier 2 City Customers,27.0,,75870.0,11052.0,3969.0,1790.0,1097270.0,36.23,15.92,Bengali,22.16,Working Women,29-12-2024
PU-CMP-2005,Paid Ads,Youth,21.0,,,4516.0,1808.0,749.0,412699.0,190.48,1.89,English,7.27,Premium Shoppers,15-03-2025
PU-CMP-40783,Paid Ads,Youth,14.0,"Facebook, YouTube, Google",77019.0,5907.0,2238.0,946.0,731258.0,149.85,4.16,English,11.8,Tier 2 City Customers,31-03-2025
PU-CMP-16423,SEO,College Students,14.0,"Instagram, Email, YouTube",79202.0,7550.0,3524.0,1387.0,744819.0,62.31,7.62,,15.73,Premium Shoppers,11-01-2025
PU-CMP-20780,Influencer,Youth,5.0,WhatsApp,56921.0,3738.0,1438.0,774.0,,167.75,3.69,Tamil,10.45,College Students,23-04-2025
PU-CMP-19083,Email,Premium Shoppers,7.0,"Instagram, Google, Facebook",27632.0,2436.0,574.0,417.0,280224.0,,2.57,Hindi,12.4,Tier 2 City Customers,18-04-2025
PU-CMP-37983,Paid Ads,Tier 2 City Customers,9.0,"Instagram, Email, YouTube",28897.0,4130.0,2080.0,1230.0,845010.0,53.05,11.95,Bengali,25.75,Youth,26-02-2025
PU-CMP-13932,Paid Ads,Premium Shoppers,15.0,,43140.0,1597.0,601.0,355.0,159040.0,194.7,,Tamil,,College Students,13-09-2024
PU-CMP-50214,Paid Ads,Youth,16.0,,76969.0,8486.0,2441.0,1808.0,1356000.0,31.69,22.66,Tamil,16.55,College Students,05-02-2025
PU-CMP-36311,SEO,Premium Shoppers,9.0,"Facebook, WhatsApp, Email",71885.0,2359.0,793.0,442.0,201110.0,510.31,-0.11,,5.0,Premium Shoppers,15-05-2025
PU-CMP-13733,Influencer,College Students,9.0,"Facebook, YouTube, Email",90364.0,10738.0,5184.0,2928.0,1007232.0,41.03,7.38,Bengali,20.86,Premium Shoppers,14-09-2024
PU-CMP-24858,Paid Ads,College Students,,"Email, Instagram",65444.0,7087.0,2499.0,,591705.0,194.11,1.51,Tamil,16.5,Youth,27-02-2025
PU-CMP-23952,SEO,Tier 2 City Customers,23.0,,40335.0,1838.0,1096.0,402.0,104922.0,132.21,0.97,Hindi,8.27,Premium Shoppers,06-07-2024
PU-CMP-14948,SEO,Premium Shoppers,18.0,"Instagram, Google",46690.0,3753.0,1749.0,577.0,342738.0,322.85,0.84,Hindi,13.02,Tier 2 City Customers,11-09-2024
,SEO,Premium Shoppers,30.0,Email,82163.0,4414.0,2107.0,1549.0,1143162.0,131.84,4.6,English,9.82,College Students,08-08-2024
PU-CMP-18086,SEO,Working Women,28.0,"Instagram, Email, WhatsApp",98513.0,3522.0,749.0,517.0,200596.0,326.04,0.19,Tamil,4.86,Youth,08-03-2025
PU-CMP-26928,Paid Ads,College Students,8.0,"Email, Facebook, Google",94793.0,5180.0,1192.0,615.0,158670.0,221.26,0.17,Hindi,7.37,Premium Shoppers,07-07-2024
PU-CMP-43631,Influencer,Premium Shoppers,22.0,Facebook,25163.0,1299.0,459.0,304.0,162944.0,256.34,1.09,Hindi,8.19,Tier 2 City Customers,07-10-2024
PU-CMP-4263,Influencer,Tier 2 City Customers,23.0,"Google, YouTube, Instagram",98884.0,12794.0,6779.0,4671.0,3279042.0,34.13,19.57,English,24.52,Tier 2 City Customers,10-11-2024
PU-CMP-43732,,Tier 2 City Customers,29.0,"Instagram, WhatsApp",37045.0,4107.0,1613.0,712.0,190104.0,410.24,-0.35,English,17.36,Working Women,06-02-2025
PU-CMP-39604,Influencer,Working Women,27.0,"YouTube, Email",42327.0,2967.0,1229.0,943.0,241408.0,56.68,3.52,English,12.14,College Students,06-04-2025
PU-CMP-32725,Social Media,Tier 2 City Customers,11.0,"Email, WhatsApp, Facebook",59328.0,2390.0,1352.0,614.0,197094.0,271.36,0.18,Bengali,7.34,Premium Shoppers,04-11-2024
PU-CMP-56126,Social Media,Tier 2 City Customers,5.0,"Facebook, Email, Instagram",67230.0,8573.0,5069.0,2486.0,569294.0,82.33,1.78,Tamil,23.99,Premium Shoppers,28-10-2024
PU-CMP-53452,Influencer,Working Women,16.0,"Google, YouTube",21176.0,1405.0,392.0,213.0,142497.0,840.6,-0.2,English,9.49,Youth,05-07-2024
PU-CMP-10351,,Working Women,9.0,"Google, WhatsApp",49288.0,6972.0,2333.0,1099.0,847329.0,79.21,8.73,,21.11,Working Women,08-02-2025
PU-CMP-4154,Social Media,College Students,27.0,WhatsApp,34277.0,706.0,247.0,169.0,119821.0,1091.33,-0.35,Hindi,3.27,Tier 2 City Customers,06-12-2024
PU-CMP-15401,Social Media,Youth,5.0,"Email, Google, Facebook",30515.0,3179.0,,597.0,134922.0,221.31,0.02,Hindi,15.07,College Students,14-10-2024
PU-CMP-52440,SEO,Tier 2 City Customers,28.0,YouTube,12439.0,931.0,378.0,158.0,77420.0,1348.9,-0.64,Bengali,11.79,Working Women,18-07-2024
PU-CMP-54766,Social Media,Youth,17.0,Facebook,,5476.0,,1092.0,397488.0,238.74,0.52,Bengali,9.1,Tier 2 City Customers,23-12-2024
PU-CMP-52434,Email,Working Women,18.0,"Email, Instagram",97608.0,14519.0,7969.0,4765.0,3130605.0,41.25,14.93,English,27.92,College Students,30-01-2025
PU-CMP-38286,Email,,10.0,YouTube,44867.0,1944.0,515.0,358.0,216590.0,322.96,0.87,Bengali,6.28,Working Women,22-10-2024
PU-CMP-53288,Social Media,Tier 2 City Customers,15.0,"Facebook, YouTube, Google",11900.0,1703.0,848.0,441.0,111573.0,420.17,-0.4,Tamil,25.14,Tier 2 City Customers,16-08-2024
PU-CMP-13212,Paid Ads,Working Women,20.0,WhatsApp,18623.0,2607.0,883.0,602.0,460530.0,169.68,3.51,Hindi,21.97,College Students,19-02-2025
PU-CMP-23714,Influencer,Premium Shoppers,23.0,"Google, Facebook, Email",96584.0,13567.0,7898.0,5975.0,3387825.0,24.05,22.57,Hindi,28.41,Premium Shoppers,29-08-2024
PU-CMP-18121,Paid Ads,Tier 2 City Customers,8.0,"Google, Email",60137.0,6628.0,3802.0,2584.0,1056856.0,,3.17,English,21.64,College Students,09-05-2025
PU-CMP-43139,SEO,Youth,12.0,"YouTube, Facebook, WhatsApp",67354.0,7807.0,3254.0,1373.0,579406.0,198.29,1.13,Hindi,18.46,Tier 2 City Customers,02-07-2024
PU-CMP-53964,Email,Premium Shoppers,,"Facebook, WhatsApp, Google",84868.0,6604.0,2438.0,1560.0,698880.0,48.01,8.33,Tamil,12.49,Youth,30-11-2024
PU-CMP-8070,Email,,13.0,"WhatsApp, Email, Instagram",50775.0,2374.0,944.0,311.0,218633.0,886.37,-0.21,Hindi,7.15,Premium Shoppers,10-06-2025
PU-CMP-35677,Paid Ads,Premium Shoppers,18.0,"Facebook, YouTube, WhatsApp",39522.0,5104.0,2760.0,1081.0,429157.0,254.23,0.56,Tamil,22.63,College Students,26-04-2025
PU-CMP-8209,Paid Ads,College Students,15.0,"Google, WhatsApp",62367.0,5764.0,1362.0,515.0,209090.0,,-0.17,Tamil,12.25,College Students,06-05-2025
PU-CMP-23839,SEO,Youth,19.0,"WhatsApp, Facebook, Google",80521.0,6485.0,3700.0,2209.0,1634660.0,126.04,4.87,Hindi,15.39,Tier 2 City Customers,19-03-2025
PU-CMP-39843,Social Media,Working Women,16.0,,26013.0,1346.0,348.0,174.0,82824.0,534.79,-0.11,Hindi,7.18,Working Women,16-01-2025
PU-CMP-9565,Paid Ads,Youth,30.0,"YouTube, Facebook",,2742.0,1238.0,986.0,676396.0,51.05,12.44,English,5.09,Youth,14-10-2024
PU-CMP-48989,Email,Premium Shoppers,12.0,"WhatsApp, Email, Facebook",20781.0,2641.0,1511.0,885.0,321255.0,272.4,0.33,Tamil,24.24,Youth,
PU-CMP-35486,Influencer,College Students,23.0,"YouTube, WhatsApp",26737.0,1961.0,442.0,134.0,74772.0,1006.34,-0.45,Hindi,9.49,Tier 2 City Customers,01-08-2024
PU-CMP-50338,SEO,Premium Shoppers,14.0,"YouTube, WhatsApp, Email",49387.0,2049.0,904.0,424.0,242952.0,412.35,0.39,Tamil,6.84,Youth,18-09-2024
PU-CMP-49837,SEO,Tier 2 City Customers,5.0,"WhatsApp, Google, Instagram",97839.0,12769.0,6421.0,3922.0,1996298.0,49.68,9.25,English,23.62,Tier 2 City Customers,
PU-CMP-52595,Paid Ads,,10.0,,14799.0,1063.0,451.0,249.0,77688.0,613.91,-0.49,Tamil,11.91,College Students,25-07-2024
PU-CMP-14441,Influencer,Premium Shoppers,,"YouTube, Google",92722.0,3150.0,1352.0,551.0,338314.0,167.39,2.67,Hindi,5.45,Tier 2 City Customers,28-04-2025
PU-CMP-21120,,Working Women,14.0,,12458.0,902.0,238.0,127.0,71247.0,841.98,-0.33,English,10.17,Premium Shoppers,25-05-2025
PU-CMP-1462,SEO,Tier 2 City Customers,7.0,"WhatsApp, Google, YouTube",60073.0,6273.0,1760.0,1386.0,1107414.0,153.55,4.2,Hindi,15.68,Working Women,07-07-2024
PU-CMP-30266,,Tier 2 City Customers,27.0,,11177.0,1027.0,573.0,374.0,243474.0,675.22,-0.04,Hindi,17.66,Youth,02-02-2025
PU-CMP-15753,Social Media,College Students,7.0,"Instagram, WhatsApp",28888.0,,1640.0,,358050.0,94.41,,Bengali,17.9,College Students,20-07-2024
PU-CMP-20661,Social Media,Working Women,18.0,"YouTube, Instagram, Email",72348.0,10629.0,,2560.0,,81.48,3.42,English,24.22,Youth,11-12-2024
PU-CMP-43383,SEO,Tier 2 City Customers,24.0,Email,46612.0,5335.0,1688.0,736.0,169280.0,,-0.26,English,16.65,Working Women,
PU-CMP-24381,Social Media,Premium Shoppers,,"YouTube, WhatsApp, Facebook",91643.0,7199.0,1899.0,1211.0,337869.0,54.43,4.13,Tamil,11.25,Premium Shoppers,12-05-2025
PU-CMP-48729,Influencer,Youth,18.0,Google,35049.0,1289.0,616.0,475.0,257925.0,327.17,0.66,English,6.79,Working Women,31-05-2025
PU-CMP-55202,Email,College Students,28.0,"Instagram, WhatsApp, Google",68644.0,3050.0,1162.0,733.0,322520.0,279.46,0.57,Hindi,7.2,Premium Shoppers,17-12-2024
,Email,College Students,18.0,"Instagram, Facebook",87390.0,5951.0,1327.0,428.0,332984.0,151.27,4.14,English,8.82,Tier 2 City Customers,30-12-2024
PU-CMP-4156,Paid Ads,College Students,24.0,"Facebook, Instagram, YouTube",34013.0,4624.0,2539.0,1699.0,1309929.0,144.07,4.35,Tamil,26.05,College Students,03-05-2025
PU-CMP-16459,Paid Ads,Youth,13.0,Email,32859.0,2486.0,1459.0,,122032.0,441.57,-0.4,English,13.42,Working Women,25-02-2025
PU-CMP-10006,Email,Youth,9.0,"YouTube, WhatsApp, Facebook",73948.0,10609.0,3776.0,2271.0,1190004.0,28.59,,Tamil,22.52,Youth,11-11-2024
PU-CMP-44987,SEO,Youth,24.0,WhatsApp,76141.0,10299.0,,2654.0,1449084.0,32.42,15.84,Hindi,21.41,Tier 2 City Customers,16-07-2024
